slug,title,wd_label,confidence,qid,burial,lat,lon,order,patronage_wd,image_url,commons,feast_raw,birth_raw,death_raw,source_url,image_license,image_credit
st-cyril-of-jerusalem,St. Cyril of Jerusalem,Cyril of Jerusalem,label,Q298654,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Saint%20Cyril%20of%20Jerusalem.jpg,Cyril of Jerusalem,March 18,0313-01-01T00:00:00Z,0386-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q298654,public domain,
st-damasus,St. Damasus,Damasus I,label,Q130997,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Pope%20Damasus.jpg,Damasus I,December 11,0305-01-01T00:00:00Z,0384-12-12T00:00:00Z,https://www.wikidata.org/wiki/Q130997,public domain,
st-damian,St. Damian,Dyfan,"AMBIGUOUS 2: Q3405091,Q4154407",Q3405091,,,,,,,,May 14,,,https://www.wikidata.org/wiki/Q3405091,,
st-denis-and-companions,St. Denis and Companions,Denis I of Portugal,"AMBIGUOUS 23: Q212890,Q440369,Q773657,Q3484255",Q212890,Monastery of São Dinis de Odivelas,38.79129,-9.182821,,,http://commons.wikimedia.org/wiki/Special:FilePath/Dinis-P.jpg,Denis I of Portugal,,1261-10-09T00:00:00Z,1325-01-07T00:00:00Z,https://www.wikidata.org/wiki/Q212890,public domain,
st-dominic,St. Dominic,Dominic,"AMBIGUOUS 3: Q120920415,Q1237661,Q3034869",Q120920415,,,,,,,,,,,https://www.wikidata.org/wiki/Q120920415,,
st-elizabeth-of-hungary,St. Elizabeth of Hungary,Elizabeth of Töss,"AMBIGUOUS 3: Q456526,Q687018,Q159862",Q456526,Töss Convent,47.4877,8.70321,Dominican Order,,http://commons.wikimedia.org/wiki/Special:FilePath/Ugolino%20di%20nerio%2C%20scomparti%20di%20polittico%20da%20santa%20croce%20a%20firenze%2C%201325-35%20ca.%2001.JPG,,,1292-01-01T00:00:00Z,1338-05-14T00:00:00Z,https://www.wikidata.org/wiki/Q456526,needs review: CC BY 3.0,"Sailko — Wikimedia Commons, CC BY 3.0"
st-ephrem,St. Ephrem,Ephrem,"AMBIGUOUS 6: Q4177448,Q4177452,Q12757066,Q18242004",Q4177448,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/%D0%90%D1%80%D1%85%D0%B8%D0%BC%D0%B0%D0%BD%D0%B4%D1%80%D0%B8%D1%82%20%D0%95%D1%84%D1%80%D0%B5%D0%BC.jpg,Ephrem (Barbinyagra),,1941-05-01T00:00:00Z,,https://www.wikidata.org/wiki/Q4177448,needs review: CC BY-SA 3.0,"Serawiki — Wikimedia Commons, CC BY-SA 3.0"
st-eusebius-of-vercelli,St. Eusebius of Vercelli,Eusebius of Vercelli,label,Q181489,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Eusebius%20von%20Vercelli.jpg,Eusebius of Vercelli,September 16,0283-03-02T00:00:00Z,0371-08-02T00:00:00Z,https://www.wikidata.org/wiki/Q181489,public domain,
st-fabian,St. Fabian,Fabian,label,Q131159,St. Peter's Basilica,41.902222222,12.453416666,,,http://commons.wikimedia.org/wiki/Special:FilePath/Saint%20Fabian1.jpg,Fabianus,January 20,0200-01-01T00:00:00Z,0250-01-20T00:00:00Z,https://www.wikidata.org/wiki/Q131159,public domain,
st-faustina,St. Faustina,Fausta of Cyzicus,label,Q3740310,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Fausta%2C%20and%20with%20her%20Evilasius%20and%20Maximus%2C%20at%20Cyzicus%20%28Menologion%20of%20Basil%20II%29.jpeg,,June 10,0298-01-01T00:00:00Z,0311-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q3740310,public domain,
